""IILI06022,Circuitos Electrónicos,4,90 Créditos,C1,10:00-12:00,,,"10:00-12:00 BLabEle",,,B101,"CASTRO SÁNCHEZ Rogelio, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI03001,Administración de Proyecto de Tesis,2,220 Créditos,C1,,,14:00-16:00,,,,A105,"OROS FLORES Marvella Izamar, M. en I","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06001,Álgebra Lineal,4,Ninguno,C1,10:00-12:00,,,10:00-12:00,,,A105,"IBARRA MANZANO Oscar Gerardo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06007,Análisis de Circuitos Eléctricos en Frecuencia,4,"Análisis de Circuitos Eléctricos en Tiempo",C1,14:00-16:00,,,14:00-16:00,,,A105,"AVIÑA CERVANTES Juan Gabriel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06008,Análisis de Circuitos Eléctricos en Tiempo,4,Ninguno,C1,,14:00-16:00,,,14:00-16:00,,B101,"REYES AYONA José Roberto, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06002,Cálculo Diferencial,4,Ninguno,NI-C1,08:00-10:00,,,08:00-10:00,,,B101,"ALMANZA OJEDA Dora Luz, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06002,Cálculo Diferencial (Repetidores),4,Ninguno,S2,18:00-20:00,,,18:00-20:00,,,A310,"ALFARO NAVARRO José Juan, Ing.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06003,Cálculo Integral,4,Cálculo Diferencial,REC-C2,16:00-18:00,,,16:00-18:00,,,B101,"MARQUEZ FIGUEROA Sandra M. en I.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06003,Cálculo Integral,4,Cálculo Diferencial,C1,,08:00-10:00,,,08:00-10:00,,B101,"SIERRA HERNÁNDEZ Juan Manuel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06004,Cálculo Vectorial y Multivariable,5,Cálculo Integral,C1,,08:00-10:00,09:00-10:00,,08:00-10:00,,A302,"IBARRA MANZANO Oscar Gerardo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06018,Ciencia de Materiales para Ingeniería,4,Química Universitaria,C1,,10:00-12:00,,,10:00-12:00,,A105,"ZAMORA GARCIA Ileana del Rocio, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06024,Circuitos Integrados Lineales,4,120 créditos,C1,,12:00-14:00,,,"12:00-14:00 BLabEle",,B101,"HERNÁNDEZ FUSILIER Donato, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI04029,Control Continuo,3,Señales y Sistemas,C1,14:00-15:30,,,14:00-15:30,,,A302,"TORRES ZÚÑIGA Jesús Ixbalank, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI04031,Control Discreto,3,Control Continuo,C1,,14:00-15:30,,,14:00-15:30,,A105,"MARTIN-DIAZ Ignacio, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI03009,Desarrollo Humano y Comunicación,2,Ninguno,NI-C1,,,10:00-12:00,,,,A105,"ZÀRATE BANDA Ma. Magdalena, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI04044,Diseño de Circuitos Impresos,3,Ninguno,C1,,,12:00-15:00,,,,A302,"MATAJIRA RUEDA David, M. en I.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06005,Ecuaciones Diferenciales,4,Cálculo Integral,C1,12:00-14:00,,,12:00-14:00,,,A309,"SIERRA HERNÁNDEZ Juan Manuel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06053,Electrónica Digital,4,"Laboratorio de Mediciones",C1,"10:00-12:00 BLabEle",,,10:00-12:00,,,B101,"CAMARENA MARTÍNEZ David, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""EALI03009,Espíritu Emprendedor,2,Ninguno,C1,,,10:00-12:00,,,,A302,"ZÀRATE BANDA Ma. Magdalena, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06056,Fibras Ópticas,4,Ninguno,C1,12:00-14:00,,,12:00-14:00,,,A105,"ROJAS LAGUNA Roberto, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI04008,Física de Semiconductores,3,Ninguno,C1,,16:00-17:30,,,16:00-17:30,,A302,"SHULIKA Oleksiy, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
