""IILI06001,Administración de la Tecnología Informática,4,"Sistemas de Administración de Datos",S1,12:00-14:00,,,12:00-14:00,,,LAB. B,"CANEDO MONTOYA Gerardo Miguel, Lic.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""SHLI03001,Administración de Proyecto de Tesis,2,220 Créditos,C1,,,14:00-16:00,,,,A105,"OROS FLORES Marvella Izamar, M. en I","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06001,Álgebra Lineal,4,Ninguno,NI_S1,,10:00-12:00,,,10:00-12:00,,A303,"ARELLANO VELÁZQUEZ Noé Ricardo, Lic.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI06004,Algoritmos y Estructuras de Datos,4,"Programación en Ingeniería",S1,12:00-14:00,,,12:00-14:00,,,A104,"GARCÍA CAPULÍN Carlos Hugo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI06004,Algoritmos y Estructuras de Datos,4,"Programación en Ingeniería",S2,,10:00-12:00,,,10:00-12:00,,A104,"IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr.","CORREA TOMÉ Fernando Enrique, Dr."
""IILI06013,Aplicaciones Internet,4,"Sistemas de Administración de Datos",S1,,14:00-16:00,,,14:00-16:00,,A104,"LEDESMA OROZCO Sergio Eduardo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06002,Cálculo Diferencial,4,Ninguno,NI_S1,10:00-12:00,,,10:00-12:00,,,A303,"ARELLANO VELÁZQUEZ Noé Ricardo, Lic.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06002,Cálculo Diferencial (Repetidores),4,Ninguno,S2,18:00-20:00,,,18:00-20:00,,,A310,"ALFARO NAVARRO José Juan, Ing.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06003,Cálculo Integral,4,Cálculo Diferencial,REC-C2,16:00-18:00,,,16:00-18:00,,,B101,"MARQUEZ FIGUEROA Sandra M. en I.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06003,Cálculo Integral,4,Cálculo Diferencial,S1,,12:00-14:00,,,12:00-14:00,,A310,"TORRES CISNEROS Miguel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""NELI06004,Cálculo Vectorial y Multivariable,5,Cálculo Integral,C1,,08:00-10:00,09:00-10:00,,08:00-10:00,,A302,"IBARRA MANZANO Oscar Gerardo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06004,Cálculo Vectorial y Multivariable,5,Cálculo Integral,S1,,08:00-10:00,08:00-09:00,,08:00-10:00,,A104,"ROJAS LAGUNA Roberto, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI06024,Circuitos Integrados Lineales,4,120 créditos,C1,,12:00-14:00,,,"12:00-14:00 BLabEle",,B101,"HERNÁNDEZ FUSILIER Donato, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
