Keycode,Name,Hours At Week
IILI06146,(SISTEMAS ELÉCTRICOS EN MEDIA  Y ALTA,4
ILLI06006,ALTA TENSIÓN,6
IILI06009,ANÁLISIS DE SISTEMAS ELÉCTRICOS DE POTENCIA,4
SHLI03001,Administración de Proyecto de Tesis,2
IILI06001,Administración de la Tecnología Informática,4
IILI03002,Aire Acondicionado y Refrigeración,3
NELI06001,Algebra Lineal,4
IILI06004,Algoritmos y Estructuras de Datos,4
ARLI06002,Animación Digital  I,4
IILI06007,Análisis de Circuitos Eléctricos en Frecuencia,4
IILI06008,Análisis de Circuitos Eléctricos en Tiempo,4
EALI04002,Análisis de Factibilidad,3
IILI04010,Análisis y Síntesis de Mecanismos,3
IILI06013,Aplicaciones Internet,4
IILI04012,Aplicaciones de Sistemas Mecatrónicos,3
ARLI06004,Apreciación Cinematográfica,4
ARLI04005,Apreciación Musical,3
ARLI06006,Arte del Siglo XX y Últimas Tendencias,4
ARLI06007,Arte y Tecnología,4
ARLI04008,Arte y Visualidad de la Prehistoria al Siglo XIX,4
IILI06015,CALIDAD DE LA ENERGIA,4
IILI06016,CENTRALES ELÉCTRICAS,4
IILI06018,CIENCIA DE LOS MATERIALES,4
IILI06020,CIRCUITOS ELÉCTRICOS DE C.A.,4
IILI06021,CIRCUITOS ELÉCTRICOS DE C.D.,4
IILI04029,CONTROL CONTINUO,3
IILI04030,CONTROL DE EQUIPO ELÉCTRICO,3
IILI06035,COORDINACIÓN DE PROTECCIONES,4
NELI06002,Calculo Diferencial,4
NELI06004,Calculo Vectorial Multivariable,5
IILI06018,Ciencia de Materiales para Ingeniería,4
IILI04017,Ciencia de Materiales para Ingeniería Mecánica,3
IILI06018,Ciencia de materiales para Ingeniería,4
IILI06022,Circuitos Electrónicos,4
IILI06019,Circuitos Eléctricos,4
IILI03023,Circuitos Hidráulicos y Neumáticos,3
IILI06024,Circuitos Integrados Lineales,4
EALI05003,Comercio Internacional,4
IILI06025,Compiladores,4
EALI04005,Comportamiento Oganizacional,3
EALI04005,Comportamiento Organizacional,3
EALI04004,Comportamiento del Consumidor,3
SHLI06024,Comunicación Oral y Escrita,3
EALI06006,Contabilidad Financiera,4
SHLI03007,Contexto Socioeconómico Internacional,3
SHLI03008,Contexto Socioeconómico Nacional,3
IILI04029,Control Continuo,3
IILI04031,Control Discreto,3
IILI04033,Controladores Lógicos Programables,4
EALI04007,Cultura de la Calidad,3
NELI06002,CÁLCULO DIFERENCIAL,4
NELI06003,CÁLCULO INTEGRAL,4
NELI06004,CÁLCULO VECTORIAL Y MULTIVARIABLE,5
IILI06014,CÁLCULO Y MODELADO DE REDES ELÉCTRICAS,4
,Cálculo Diferencial,4
NELI06002,Cálculo Diferencial (Repetidores),4
NELI06003,Cálculo Integral,4
NELI06004,Cálculo Vectorial y Multivariable,5
SHLI03009,DESARROLLO HUMANO Y COMUNICACIÓN,2
IILI06006,DETECCIÓN DE FALLAS EN MÁQUINAS ELÉCTRICAS,4
IILI04040,DIBUJO EN INGENIERÍA,3
IILI06047,DISEÑO DE MAQUINAS ELÉCTRICAS,4
SHLI03009,Desarrollo Humano y Comunicación,2
SHLI03009,Desarrollo Humano y comunicación,2
IILI04036,Desarrollo de Nuevos Productos,3
IILI06037,Desarrollo de Software,4
IILI04040,Dibujo de Ingeniería,3
IILI04041,Dinámica de Cuerpo Rígido,3
IILI04043,Dinámica de Maquinaria,3
IILI04042,Dinámica de la Partícula,3
IILI06048,Diseño Mecánico,5
ARLI06012,Diseño Multimedia Interactivo I,4
ARLI06011,Diseño Multimedia Interactivo II,4
IILI04044,Diseño de Circuitos Impresos,3
IILI04045,Diseño de Elementos de Máquinas,3
IILI04046,Diseño de Experimentos y Probabilístico,3
ARLI06010,Diseño de Publicaciones para Plataformas Digitales,4
IILI04168,Diseño y Aplicación de Materiales Compuestos,3
NELI06005,ECUACIONES DIFERENCIALES,4
NELI06006,ELECTROMAGNETÍSMO Y ONDAS,4
IILI06052,ELECTRÓNICA DE POTENCIA,4
EALI03009,ESPÍRITU EMPRENDEDOR,2
SHLI03018,EXPRESIÓN VERBAL EN EL AMBIENTE LABORAL,3
NELI06005,Ecuaciones Diferenciales,4
ARLI06013,Edición de Audio Digital,4
NELI06006,Electromagnetismo y Ondas,4
IILI06051,Electrónica Analógica,4
IILI06053,Electrónica Digital,4
EALI03008,Emprendurismo Social,3
EALI03009,Espíritu Emprendedor,2
NELI05003,Estadística Descriptiva e Inferencial,4
ARLI06014,Estudios Visuales,4
IILI04055,Estática,3
SHLI03018,Expresión Verbal en Ambiente Profesional,2
SHLI03019,FORMACIÓN CULTURAL E INTERCULTURAL,2
,FRANCES A1.1,4
,FRANCES A2.1,4
IILI06059,FUENTES RENOVABLES DE ENERGÍA,4
IILI06061,FUNDAMENTOS DE LOS SISTEMAS DE INFORMACIÓN,4
IILI06056,Fibras Ópticas,4
