Keycode,Name,Hours At Week
NELI06001,Algebra Lineal,4
ARLI06002,Animación Digital  I,4
ARLI06004,Apreciación Cinematográfica,4
ARLI04005,Apreciación Musical,3
ARLI06006,Arte del Siglo XX y Últimas Tendencias,4
ARLI06007,Arte y Tecnología,4
ARLI04008,Arte y Visualidad de la Prehistoria al Siglo XIX,4
EALI04005,Comportamiento Oganizacional,3
SHLI03009,Desarrollo Humano y Comunicación,2
ARLI06012,Diseño Multimedia Interactivo I,4
ARLI06011,Diseño Multimedia Interactivo II,4
ARLI06010,Diseño de Publicaciones para Plataformas Digitales,4
ARLI06013,Edición de Audio Digital,4
EALI03009,Espíritu Emprendedor,2
ARLI06014,Estudios Visuales,4
,FRANCES A1.1,4
,FRANCES A2.1,4
SHLI03019,Formación Cultural e Intercultural,2
SHLI03020,"Formulación, Delimitación y Elaboración de Protocolo de Tesis",3
ARLI06016,"Fotografía, Ilustración y Diseño",4
ARLI06017,Fundamentos de Audio Digital,4
ARLI06018,Fundamentos del Diseño y Objetos Vectoriales,4
ARLI06019,Fundamentos y Edición de Video,4
IILI06063,Geometría Computacional,4
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
SHLI01041,Integración a la Vida Universitaria,1
SHLI06045,Investigación y Publicación de Textos Académicos,4
ARLI06020,Lenguaje Audiovisual,4
NELI06009,Matemáticas Discretas,4
ARLI06021,Metodología y Visualidad en el Diseño,4
ARLI06022,Modelado 3D,4
ARLI06023,Multimedia,4
ARLI04025,Pensamiento Creativo y Materiales,3
IILI06096,Procesamiento de Datos. Diseño Generativo,4
IILI06106,Programación Interactiva,4
IILI06107,Programación Orientada a Objetos,4
IILI06104,Programación en Ingeniería,4
SHLI03058,Proyecto de Tesis,3
ARLI06026,Proyectos de Instalación,4
ARLI04027,Psicología de la Percepción,3
SHLI03063,Responsabilidad Social,2
ARLI06028,Semiótica y Visualidad,4
IILI06127,Sistemas Operativos,4
ARLI06029,Sublime Contemporáneo,4
ARLI06031,Taller de Arte I Fotografía creativa y retoque digital,4
ARLI06035,Taller de Arte Sonoro,4
ARLI06036,Taller de Arte Tipografía aplicada al arte,4
ARLI06037,Taller de Arte Video Mapping 3D,4
ARLI06038,Temas Selectos Multimedia,4
ARLI06038,Temas Selectos de Animación,4
ARLI06039,Temas Selectos de Electrónica,4
ARLI04041,Teoría del Color,3
ARLI06042,Teorías del Arte y la Estética,4
