Keycode,Name,Hours At Week
EALI04002,Análisis de Factibilidad,3
EALI05003,Comercio Internacional,4
EALI04005,Comportamiento Organizacional,3
EALI04004,Comportamiento del Consumidor,3
SHLI06024,Comunicación Oral y Escrita,3
EALI06006,Contabilidad Financiera,4
SHLI03007,Contexto Socioeconómico Internacional,3
SHLI03008,Contexto Socioeconómico Nacional,3
EALI04007,Cultura de la Calidad,3
NELI06002,Cálculo Diferencial,4
AG0204,Desarrollo Humano y Comunicación,2
IILI04036,Desarrollo de Nuevos Productos,3
EALI03008,Emprendurismo Social,3
AG0304,Espíritu Emprendedor,2
NELI05003,Estadística Descriptiva e Inférencial,4
,FRANCES A1.1,4
,FRANCES A2.1,4
AG0504,Formación Cultural e Intercultural,2
EALI05012,Gestión Financiera,4
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
EALI05013,Implementación de Estrategias,4
EALI03050,Innovación y Desarrollo Tecnológico,3
AG0104,Integración a la Vida Universitaria,1
EALI06013,Inteligencia Competitiva,3
SHLI06025,Legislación Empresarial,4
EALI03011,Logística Internacional,3
IILI04077,Logística y Cadenas de Suministros,3
EALI06021,Macroeconomía,4
EALI06022,Matemáticas Aplicadas,4
EALI04004,Matemáticas Financieras,3
EALI04024,Medición y Evaluación de la Calidad,3
EALI05025,Mercadotecnia Estratégica,3
EALI03026,Mercadotecnia Internacional,3
SHLI04005,Metodología de la Investigación,3
EALI06028,Microeconomía,4
EALI06027,Métodos Cuantitativos,4
EALI04029,Negocios Electrónicos,3
EALI06053,Negocios Sustentables,3
EALI06031,Obligaciones Fiscales,4
EALI05032,Plan de Negocios,3
EALI05033,Planeación Estratégica,4
EALI03008,Procuración de Fondos,3
,Prodiedad Industrial y Transferencia de Tecnología,4
IILI05100,Producción y Manufactura,4
EALI05036,Proyecto Empresarial de Base Tecnológica,3
SHLI03058,Proyecto de Tesis,2
,Proyectos en Ingeniería,4
EALI03038,Psicología de la Empresa,3
EALI04039,Recursos Humanos,3
AG0404,Responsabilidad Social,2
EALI04040,Sectores Empresariales,3
EALI03050,Seminario de Desarrollo Tecnológico,3
EALI06041,Sistemas de Costeo y Presupuestos,4
EALI03042,Sistematización de Datos,3
EALI04014,Tópicos Selectos de Desarrollo Tecnológico,3
NELI06001,Álgebra Lineal,4
