Keycode,Name,Hours At Week
IILI06146,(SISTEMAS ELÉCTRICOS EN MEDIA  Y ALTA,4
ILLI06006,ALTA TENSIÓN,6
IILI06009,ANÁLISIS DE SISTEMAS ELÉCTRICOS DE POTENCIA,4
IILI06015,CALIDAD DE LA ENERGIA,4
IILI06016,CENTRALES ELÉCTRICAS,4
IILI06018,CIENCIA DE LOS MATERIALES,4
IILI06020,CIRCUITOS ELÉCTRICOS DE C.A.,4
IILI06021,CIRCUITOS ELÉCTRICOS DE C.D.,4
IILI04029,CONTROL CONTINUO,3
IILI04030,CONTROL DE EQUIPO ELÉCTRICO,3
IILI06035,COORDINACIÓN DE PROTECCIONES,4
IILI06018,Ciencia de Materiales para Ingeniería,4
NELI06002,CÁLCULO DIFERENCIAL,4
NELI06003,CÁLCULO INTEGRAL,4
NELI06004,CÁLCULO VECTORIAL Y MULTIVARIABLE,5
IILI06014,CÁLCULO Y MODELADO DE REDES ELÉCTRICAS,4
SHLI03009,DESARROLLO HUMANO Y COMUNICACIÓN,2
IILI06006,DETECCIÓN DE FALLAS EN MÁQUINAS ELÉCTRICAS,4
IILI04040,DIBUJO EN INGENIERÍA,3
IILI06047,DISEÑO DE MAQUINAS ELÉCTRICAS,4
NELI06005,ECUACIONES DIFERENCIALES,4
NELI06006,ELECTROMAGNETÍSMO Y ONDAS,4
IILI06052,ELECTRÓNICA DE POTENCIA,4
EALI03009,ESPÍRITU EMPRENDEDOR,2
SHLI03018,EXPRESIÓN VERBAL EN EL AMBIENTE LABORAL,3
SHLI03019,FORMACIÓN CULTURAL E INTERCULTURAL,2
,FRANCES A1.1,4
,FRANCES A2.1,4
IILI06059,FUENTES RENOVABLES DE ENERGÍA,4
IILI06061,FUNDAMENTOS DE LOS SISTEMAS DE INFORMACIÓN,4
EALI03014,INGENIERÍA ECONÓMICA,2
EALI03015,INGENIERÍA INDUSTRIAL,2
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
SHLI03065,INMERSIÓN EN EL AMBIENTE LABORAL,2
IILI06069,INSTALACIONES ELÉCTRICAS,4
SHLI01041,INTEGRACIÓN A LA VIDA UNIVERSITARIA,1
IILI06074,INTRODUCCIÓN A LAS REDES INTELIGENTES,4
NELI06010,MECÁNICA,4
IILI04086,MEDICIONES ELÉCTRICAS,3
IILI06079,MÁQUINAS DE C.D. Y TRANSFORMADORES,4
IILI06082,MÁQUINAS SÍNCRONAS Y ASÍNCRONAS,4
NELI04011,MÉTODOS NUMÉRICOS,3
IILI04105,PROGRAMACIÓN EN INGENIERÍA ELÉCTRICA,3
EALI06037,PROYECTOS DE INGENIERÍA,4
NELI06016,QUÍMICA UNIVERSITARIA,4
SHLI03062,REDACCIÓN DE CV Y ENTREVISTA DE TRABAJO,3
SHLI03063,RESPONSABILIDAD SOCIAL,2
ACLI10001,SEMINARIO DE PROYECTO DE TITULACIÓN,2
IILI06115,SEÑALES Y SISTEMAS,4
IILI06121,SISTEMAS DE DISTRIBUCIÓN,4
IILI04129,SUBESTACIONES ELÉCTRICAS,4
NELI06017,TEORÍA ELECTROMAGNÉTICA,4
NELI06001,ÁLGEBRA LINEAL,4
