Keycode,Name,Hours At Week
IILI03002,Aire Acondicionado y Refrigeración,3
NELI06001,Algebra Lineal,4
IILI04010,Análisis y Síntesis de Mecanismos,3
NELI06002,Calculo Diferencial,4
NELI06004,Calculo Vectorial Multivariable,5
IILI06018,Ciencia de Materiales para Ingeniería,4
IILI04017,Ciencia de Materiales para Ingeniería Mecánica,3
IILI03023,Circuitos Hidráulicos y Neumáticos,3
IILI04033,Controladores Lógicos Programables,4
NELI06002,Cálculo Diferencial (Repetidores),4
NELI06003,Cálculo Integral,4
SHLI03009,Desarrollo Humano y Comunicación,2
IILI04040,Dibujo de Ingeniería,3
IILI04041,Dinámica de Cuerpo Rígido,3
IILI04043,Dinámica de Maquinaria,3
IILI04042,Dinámica de la Partícula,3
IILI06048,Diseño Mecánico,5
IILI04045,Diseño de Elementos de Máquinas,3
IILI04046,Diseño de Experimentos y Probabilístico,3
IILI04168,Diseño y Aplicación de Materiales Compuestos,3
NELI06005,Ecuaciones Diferenciales,4
NELI06006,Electromagnetismo y Ondas,4
EALI03009,Espíritu Emprendedor,2
IILI04055,Estática,3
,FRANCES A1.1,4
,FRANCES A2.1,4
SHLI03019,Formación Cultural e Intercultural,2
IILI06060,Fundamentos de Ingeniería Eléctrica,4
IILI06061,Fundamentos de los Sistemas de Información,4
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
IILI03065,Impacto Ambiental,2
EALI04016,Ingenieria Industrial y de Métodos,3
EALI03014,Ingeniería Económica,2
ACLI10001,Inmersión en el Ambiente Laboral,0
IILI04070,Instalaciones Industriales,3
SHLI01041,Integración a la Vida Universitaria,1
IILI02075,Laboratorio de Mediciones,2
IILI03078,Manufactura Avanzada,3
IILI06083,Mecánica de Fluidos,5
IILI06084,Mecánica de Sólidos,5
IILI03085,Mecánica de Sólidos Avanzada,3
IILI04092,Motores de Combustión Interna,3
IILI03081,Máquinas Hidráulicas y Neumáticas,3
NELI04011,Métodos Numéricos,3
IILI06094,Plantas Térmicas y Uso Racional de la Energía,5
NELI06014,Probabilidad y Estadística,4
IILI04098,Procesos de Corte,3
IILI04099,Procesos de Manufactura,3
EALI06037,Proyectos en Ingeniería,4
NELI06016,Química Universitaria,4
SHLI03063,Responsabilidad Social,2
IILI04112,Robótica,3
SHLI03065,Seminario de Proy. de Titulación,2
IILI04120,Sistemas de Control,3
IILI03165,Taller de Diseño,3
IILI06130,Termodinámica,5
IILI03164,Termoeconomía,3
IILI06138,Transferencia de Calor,5
IILI06142,Turbomáquinas y Equipos Térmicos,5
IILI06143,Vibraciones Mecánicas,4
