Keycode,Name,Hours At Week
NELI06001,Álgebra Lineal,4
IILI04010,Análisis y Síntesis de Mecanismos,3
IILI04012,Aplicaciones de Sistemas Mecatrónicos,3
NELI06002,Cálculo Diferencial,4
NELI06002,Cálculo Diferencial (Repetidores),4
NELI06003,Cálculo Integral,4
NELI06004,Cálculo Vectorial y Multivariable,5
IILI06018,Ciencia de Materiales para Ingeniería,4
IILI06018,Ciencia de materiales para Ingeniería,4
IILI06019,Circuitos Eléctricos,4
IILI06022,Circuitos Electrónicos,4
IILI03023,Circuitos Hidráulicos y Neumáticos,3
IILI06024,Circuitos Integrados Lineales,4
IILI04033,Controladores Lógicos Programables,4
SHLI03009,Desarrollo Humano y comunicación,2
IILI04040,Dibujo de Ingeniería,3
IILI04041,Dinámica de Cuerpo Rígido,3
IILI04042,Dinámica de la Partícula,3
IILI04043,Dinámica de Maquinaria,3
IILI06048,Diseño Mecánico,5
NELI06005,Ecuaciones Diferenciales,4
NELI06006,Electromagnetismo y Ondas,4
IILI06053,Electrónica Digital,4
EALI03009,Espíritu Emprendedor,2
IILI04055,Estática,3
SHLI03019,Formación Cultural e intercultural,2
,FRANCES A1.1,4
,FRANCES A2.1,4
IILI03058,Fuentes no Convencionales de Energía,3
IILI06060,Fundamentos de Ingeniería Eléctrica,4
IILI06061,Fundamentos de los sistemas de información,4
IILI03065,Impacto Ambiental,2
EALI03014,Ingeniería Económica,2
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
IILI06072,Instrumentación Digital,4
SHLI01041,Integración a la vida Universitaria,1
IILI06073,Inteligencia Artificial,4
IILI02075,Laboratorio de Mediciones,2
IILI03078,Manufactura Avanzada,3
IILI03081,Máquinas Hidráulicas y Neumáticas,3
IILI06083,Mecánica de Fluidos,5
IILI06084,Mecánica de Sólidos,5
NELI04011,Métodos Numéricos,3
IILI06089,Microprocesadores y Microcontroladores,4
IILI06026,OPTATIVA PROFUNDIZACIÓN (Robótica Móvil),4
IILI06094,Plantas Térmicas y Uso Racional de la Energía,5
NELI06014,Probabilidad y Estadística,4
IILI06104,Programación en Ingeniería,4
IILI06107,Programación Orientada a Objetos,4
EALI06037,Proyectos en ingeniería,4
NELI06016,Química Universitaria,4
SHLI03063,Responsabilidad Social,2
IILI04112,Robótica,3
IILI06115,Señales y Sistemas,4
IILI04118,Simulación de Sistemas Mecatrónicos,3
IILI04120,Sistemas de Control,3
IILI04124,Sistemas de Medición,3
IILI06126,Sistemas Electrónicos de Potencia,4
IILI06130,Termodinámica,5
IILI06142,Turbomáquinas y Equipos Térmicos,5
IILI06143,Vibraciones Mecánicas,4
