Keycode,Name,Hours At Week
SHLI03001,Administración de Proyecto de Tesis,2
IILI06001,Administración de la Tecnología Informática,4
IILI06004,Algoritmos y Estructuras de Datos,4
IILI06013,Aplicaciones Internet,4
IILI06024,Circuitos Integrados Lineales,4
IILI06025,Compiladores,4
NELI06002,Calculo Diferencial,4
NELI06003,Cálculo Integral,4
NELI06004,Cálculo Vectorial y Multiváriable,5
SHLI03009,Desarrollo Humano y Comunicación,2
IILI06037,Desarrollo de Software,4
NELI06005,Ecuaciones Diferenciales,4
NELI06006,Electromagnetismo y Ondas,4
IILI06051,Electrónica Analógica,4
IILI06053,Electrónica Digital,4
EALI03009,Espíritu Emprendedor,2
SHLI03018,Expresión Verbal en Ambiente Profesional,2
,FRANCES A2.1,4
SHLI03019,Formación Cultural e Intercultural,2
IILI06062,Fundamentos de los Sistemas Eléctricos,4
IILI06061,Fundamentos de los Sistemas de Información,4
,INGLÉS 1A,4
,INGLÉS 1B,4
,INGLÉS 2A,4
,INGLÉS 2B,4
,INGLÉS 3A,4
IILI06066,Informática Industrial,4
EALI03014,Ingeniería Económica,2
IILI06068,Ingeniería de Software,4
ACLI10001,Inmersión en el Ambiente Laboral,0
SHLI01041,Integración a la Vida Universitaria (N. I.),1
IILI06073,Inteligencia Artificial,4
IILI02075,Laboratorio de Mediciones,2
NELI06009,Matemáticas Discretas,4
NELI06010,Mecánica,4
IILI06089,Microprocesadores y Microcontróladores,4
NELI04011,Métodos Numéricos,3
IILI06064,Optativa Disciplinar (Programación Científica),4
IILI06026,Optativa Profundización (Robótica Móvil),4
IILI06114,Optativa Profundización (Seguridad en Redes),4
NELI06014,Probabilidad y Estadística,4
IILI06107,Programación Orientada a Objetos,4
IILI06104,Programación en Ingeniería,4
EALI06037,Proyectos en Ingeniería,4
NELI06016,Química Universitaria,4
SHLI03062,Redacción de CV y Entrevista de Trabajo,2
IILI06110,Redes de Computadoras I,4
IILI06111,Redes de Computadoras II,4
SHLI03063,Responsabilidad Social,2
SHLI03065,Seminario de Proyecto de Titulación,2
IILI06127,Sistemas Operativos,4
IILI06119,Sistemas de Administración de Datos,4
IILI06122,Sistemas de Información,4
IILI06136,Tópico Selecto en Sistemas Computacionales (Programación en JAVA),4
NELI06001,Álgebra Lineal,4
